# Mon Jul 22 14:51:13 2013
# Size integrated effective scattering matrix elements for BARE-GR-S
# model of Zubko, Dwek, and Arendt 2004, ApJS, 152, 211
# Model contains a mixture of PAH, graphtic, and silicate grains.
# S11(a), S12(a), S33(a), and S34(a) for each component were integrated
# over the appropriate ZDA size distribution and summed to produce the
# effective scattering matrix elements. Integrals were weighted by the
# appropriate C_sca(a): 
#    S11_eff = SUM(INT[S11(a,i)C_sca(a,i)f(a)]/INT[C_sca(i,a)f(a)])
#  
# Sij and all grain properties computed using:
#   Light Scattering by Multilayer Spherical Particles               
#   copyright (c) 1997-2002 by Victor Zubko,                         
#   NASA Goddard Space Flight Center, Greenbelt, MD                  
#  Converted to IDL by K. Misselt, 8/02, UofA.                       
# with exception of the PAH component.
# Graphitic component was computed for both perpendicular and parallel
# modes and summed using 2/3:1/3 after the Mie calculation.
#  
# Wave [um]       S11            S12            S33            S34
    0.001000  1.18673E-02   -2.53871E-05   -1.18673E-02    2.99019E-06
    0.001014  1.09008E-02   -2.98698E-05   -1.09008E-02    6.85339E-06
    0.001027  7.87999E-03   -2.23315E-05   -7.87994E-03    3.22327E-06
    0.001041  8.86422E-03   -1.90461E-05   -8.86418E-03    9.69716E-08
    0.001055  7.27845E-03   -2.07286E-05   -7.27842E-03    2.51294E-06
    0.001069  9.54630E-03   -1.77237E-05   -9.54627E-03   -8.68821E-06
    0.001084  8.16222E-03   -1.06296E-05   -8.16219E-03   -1.85186E-07
    0.001099  1.31147E-02   -3.58861E-05   -1.31146E-02    5.43522E-07
    0.001113  1.09091E-02   -2.95934E-05   -1.09091E-02   -3.61084E-06
    0.001128  1.12858E-02   -2.40970E-05   -1.12857E-02   -6.54779E-06
    0.001144  1.33920E-02   -3.44389E-05   -1.33920E-02   -8.56971E-06
    0.001159  1.12639E-02   -2.42835E-05   -1.12639E-02   -2.16596E-06
    0.001175  1.42629E-02   -3.28278E-05   -1.42629E-02    2.87999E-06
    0.001191  1.39005E-02   -2.55792E-05   -1.39004E-02    9.75423E-06
    0.001207  1.43992E-02   -4.74751E-05   -1.43991E-02    7.93980E-06
