# Templates from Starburst99
# SEDs of population with constant star formation, age = 100 Myr, nebular emission included 
# IMF: alpha = 2.35, Mlow = 1 Msun, Mupp = 1 Msun
# column 1: lambda in A
# column 2-6: log(Fnu) in erg/s/A, for Z=0.001, 0.004, 0.008, 0.020 and 0.040
# source: Starburst99 website (http://www.stsci.edu/science/starburst99), data corresponding to Figure 2 

5
1221
            0.001       0.004       0.008       0.020       0.040

91.000000   38.546550   38.919530   38.927510   38.735550   38.332130
94.000000   38.576300	38.970820   38.978580	38.800480   38.399970
96.000000   38.603350	39.011350   39.018400	38.847460   38.448220
98.000000   38.629140	39.048440   39.054820	38.889410   38.491140
100.00000   38.647120	39.073800   39.079590	38.916880   38.519320
102.00000   38.658440	39.090870   39.096030	38.934940   38.537690
104.00000   38.656910	39.094310   39.098480	38.938170   38.540080
106.00000   38.658840	39.100480   39.102740	38.940980   38.540960
108.00000   38.662840	39.106850   39.107680	38.943990   38.542340
110.00000   38.662840	39.110360   39.110580	38.947120   38.544930
114.00000   38.660270	39.118230   39.116100	38.953470   38.549160
118.00000   38.667210	39.131850   39.126330	38.960690   38.552530
121.00000   38.668210	39.137600   39.130810	38.964730   38.555490
125.00000   38.670110	39.146580   39.137760	38.970340   38.558670
127.00000   38.671130	39.151200   39.141340	38.973160   38.560150
128.00000   38.670280	39.152440   39.141830	38.973250   38.559270
131.00000   38.667040	39.155650   39.142650	38.972840   38.555800
132.00000   38.665950	39.156700   39.142920	38.972700   38.554620
134.00000   38.663130	39.156020   39.140810	38.968750   38.548570
137.00000   38.658610	39.153330   39.136070	38.960510   38.537040
140.00000   38.655070	39.151990   39.132590	38.953530   38.526670
143.00000   38.653040	39.152640   39.131060	38.948570   38.518280
147.00000   38.644180	39.147330   39.123600	38.937980   38.503890
151.00000   38.637160	39.145730   39.119150	38.930010   38.490960
155.00000   38.631590	39.145580   39.115980	38.922910   38.478440
159.00000   38.625930	39.142350   39.110420	38.913130   38.464070
162.00000   38.622090	39.140850   39.107280	38.907400   38.455060
166.00000   38.614180	39.138000   39.101760	38.898510   38.441030
170.00000   38.601750	39.132250   39.093830	38.888870   38.427260
173.00000   38.593880	39.128340   39.088540	38.882180   38.417700
177.00000   38.586730	39.124850   39.083110	38.873830   38.404950
180.00000   38.581810	39.123950   39.080940	38.870850   38.399140
182.00000   38.577900	39.123810   39.080010	38.870110   38.396850
186.00000   38.568760	39.124440   39.079210	38.871150   38.395490
191.00000   38.557020	39.122560   39.076150	38.869790   38.390990
194.00000   38.547700	39.119650   39.072650	38.867820   38.387350
198.00000   38.540520	39.122250   39.073000	38.868580   38.384420
202.00000   38.529290	39.121940   39.073490	38.875000   38.392110
205.00000   38.522000	39.124280   39.077070	38.885160   38.405050
210.00000   38.506880	39.127460   39.083020	38.903960   38.429470
216.00000   38.481190	39.137630   39.105750	38.963890   38.513510
220.00000   38.468290	39.148490   39.127310	39.011920   38.579680
223.00000   38.453080	39.166870   39.165960	39.091800   38.686290
227.00000   38.462880	39.204440   39.239860	39.238950   38.939100
230.00000   38.769810	39.314030   39.389180	39.536130   39.554370
234.00000   39.155100	39.347580   39.394900	39.533860   39.552230
240.00000   39.531930	39.399890   39.397920	39.527570   39.546970
246.00000   39.817620	39.479480   39.410390	39.522310   39.542960
252.00000   40.026270	39.628120   39.476210	39.521670   39.537870
257.00000   39.835040	39.604300   39.501470	39.525950   39.533880
260.00000   40.078790	39.690460   39.517330	39.522050   39.532190
264.00000   40.242500	39.901200   39.705920	39.579260   39.541400
269.00000   40.265890	39.941100   39.744690	39.589640   39.538790
274.00000   40.284670	39.959490   39.762180	39.595530   39.536660
279.00000   40.219620	39.871310   39.670960	39.552190   39.520940
284.00000   40.309970	40.003220   39.804870	39.607140   39.530280
290.00000   40.311850	40.027520   39.839890	39.630630   39.534850
296.00000   40.241490	39.959400   39.778630	39.598230   39.521160
301.00000   39.895070	39.729450   39.635170	39.577380   39.529900
308.00000   40.028280	39.826980   39.713510	39.620660   39.551360
318.00000   40.217690	39.945140   39.781910	39.622020   39.533730
328.00000   40.223880	39.957940   39.800650	39.640490   39.543470
338.00000   40.194440	39.931420   39.777900	39.629990   39.538890
348.00000   40.170910	39.907600   39.754740	39.614110   39.528130
357.00000   40.217620	39.998900   39.872690	39.732410   39.618650
366.00000   40.278060	40.116750   40.021870	39.899070   39.778320
375.00000   40.266590	40.108600   40.015270	39.890510   39.763420
385.00000   40.199590	40.031120   39.930400	39.805370   39.686570
395.00000   40.260560	40.129670   40.054250	39.957110   39.850330
405.00000   40.287280	40.177970   40.116060	40.039020   39.949030
414.00000   40.283100	40.175060   40.112770	40.034080   39.943020
422.00000   40.261720	40.149150   40.082360	39.994430   39.894500
430.00000   40.244790	40.126340   40.057510	39.971310   39.876380
441.00000   40.271730	40.168310   40.106620	40.027380   39.938220
451.00000   40.269910	40.171560   40.111860	40.032990   39.942110
460.00000   40.244580	40.136170   40.069010	39.978360   39.878950
470.00000   40.238000	40.132580   40.067390	39.981230   39.887760
480.00000   40.246580	40.154020   40.097180	40.024560   39.942960
490.00000   40.217520	40.110360   40.042560	39.950360   39.853280
500.00000   40.237080	40.151870   40.099320	40.030410   39.956210
506.00000   40.262370	40.148680   40.069360	39.980830   39.856780
512.00000   40.385250	40.312230   40.266880	40.194270   40.103770
520.00000   40.368440	40.288690   40.240490	40.167610   40.079350
530.00000   40.350850	40.260490   40.206120	40.127080   40.036370
540.00000   40.304790	40.200950   40.138650	40.048250   39.947700
550.00000   40.292550	40.186470   40.124470	40.034630   39.935210
560.00000   40.343340	40.264050   40.216080	40.141530   40.051780
570.00000   40.343670	40.274660   40.234940	40.179020   40.109310
580.00000   40.326510	40.256630   40.216440	40.160710   40.091370
590.00000   40.327770	40.258650   40.218760	40.162820   40.093210
600.00000   40.303430	40.217890   40.164890	40.082960   39.987880
610.00000   40.286550	40.202980   40.152800	40.076180   39.987340
620.00000   40.315650	40.254990   40.219300	40.164820   40.093050
630.00000   40.300620	40.234570   40.195570	40.136810   40.062660
640.00000   40.304950	40.248030   40.214990	40.166110   40.098850
650.00000   40.291670	40.231660   40.196490	40.143910   40.073900
658.00000   40.274440	40.207470   40.167020	40.103830   40.023040
665.00000   40.285900	40.229960   40.197190	40.147980   40.080680
675.00000   40.286140	40.235320   40.206390	40.164420   40.103840
685.00000   40.258470	40.194250   40.154670	40.092170   40.011950
695.00000   40.271530	40.220240   40.191230	40.148390   40.087280
705.00000   40.239820	40.169370   40.124550	40.051570   39.962560
716.00000   40.262070	40.215420   40.189320	40.151020   40.094250
726.00000   40.257960	40.211950   40.186020	40.148300   40.092120
735.00000   40.253850	40.208840   40.183370	40.145690   40.088750
745.00000   40.242260	40.194570   40.167080	40.125060   40.064270
755.00000   40.233370	40.185660   40.158410	40.116770   40.056490
765.00000   40.215870	40.159450   40.125340	40.069180   39.996030
775.00000   40.219780	40.172890   40.146270	40.105290   40.046080
785.00000   40.209770	40.155100   40.122180	40.067480   39.998020
795.00000   40.207420	40.160080   40.133050	40.090220   40.030370
805.00000   40.204200	40.158370   40.132230	40.092160   40.033870
815.00000   40.200500	40.155870   40.129890	40.089210   40.029980
825.00000   40.196340	40.153190   40.128440	40.089690   40.032910
835.00000   40.162780	40.098930   40.057840	39.988570   39.903630
845.00000   40.182700	40.138490   40.112480	40.070540   40.010190
855.00000   40.174040	40.128820   40.102170	40.059020   39.997390
865.00000   40.173290	40.131070   40.106540	40.067440   40.010180
875.00000   40.168280	40.126390   40.102050	40.063310   40.006830
885.00000   40.161640	40.120140   40.096280	40.058640   40.003970
895.00000   40.155620	40.115220   40.091900	40.054630   40.000100
905.00000   40.146330	40.104730   40.079370	40.041970   39.983200
915.00000   40.129810	40.096540   40.075220	40.029380   39.990150
925.00000   40.425660	40.411780   40.396680	40.352560   40.299700
935.00000   40.579250	40.573300   40.563010	40.527360   40.477220
945.00000   40.725860	40.703230   40.682990	40.632450   40.575150
955.00000   40.780750	40.755410   40.734240	40.684220   40.627220
965.00000   40.839860	40.805960   40.778740	40.715730   40.643910
975.00000   40.602890	40.521180   40.463000	40.356190   40.248830
985.00000   40.840960	40.777530   40.727250	40.618160   40.504330
995.00000   40.817540	40.745400   40.692410	40.592540   40.493290
1005.0000   40.842380	40.786300   40.745750	40.670020   40.591380
1015.0000   40.812850	40.769710   40.738540	40.676960   40.609210
1025.0000   40.607560	40.590220   40.573820	40.534000   40.481670
1035.0000   40.771240	40.724090   40.689560	40.622510   40.551540
1045.0000   40.841220	40.809640   40.784460	40.733160   40.675900
1055.0000   40.833770	40.798330   40.769900	40.713910   40.652390
1065.0000   40.801340	40.754180   40.718400	40.646610   40.568990
1075.0000   40.811870	40.772630   40.740730	40.676730   40.605450
1085.0000   40.775120	40.729780   40.693650	40.621830   40.545920
1095.0000   40.802520	40.766160   40.736250	40.677110   40.610770
1105.0000   40.784440	40.745300   40.714490	40.653620   40.586720
1115.0000   40.777070	40.736960   40.704880	40.640840   40.570310
1125.0000   40.750900	40.702170   40.663740	40.589110   40.505090
1135.0000   40.765370	40.731540   40.703110	40.647900   40.583030
1145.0000   40.746350	40.708400   40.679150	40.622910   40.558250
1155.0000   40.743250	40.704900   40.674740	40.618470   40.554600
1165.0000   40.738010	40.700150   40.669240	40.609390   40.540730
1175.0000   40.675090	40.607540   40.555880	40.457620   40.354020
1185.0000   40.713550	40.674310   40.643250	40.583070   40.512580
1195.0000   40.678640	40.630830   40.594380	40.522960   40.443590
1205.0000   40.630560	40.580910   40.542730	40.463330   40.375420
1215.0000   40.448010	40.429660   40.411600	40.371340   40.314380
1225.0000   40.620910	40.581750   40.552250	40.496830   40.431670
1235.0000   40.665780	40.633790   40.609750	40.563350   40.507390
1245.0000   40.669690	40.640110   40.616130	40.570420   40.514390
1255.0000   40.665090	40.632140   40.605920	40.556040   40.496470
1265.0000   40.652180	40.616740   40.588930	40.537780   40.479000
1275.0000   40.658900	40.633780   40.612920	40.574330   40.526430
1285.0000   40.654430	40.631350   40.611630	40.575840   40.531810
1295.0000   40.629920	40.596640   40.569930	40.518840   40.458500
1305.0000   40.623200	40.591540   40.565890	40.517750   40.459720
1315.0000   40.633000	40.611690   40.593810	40.560120   40.517070
1325.0000   40.619770	40.595750   40.576050	40.539260   40.494120
1335.0000   40.604170	40.576810   40.554360	40.512420   40.460450
1345.0000   40.609110	40.587400   40.569300	40.536790   40.495780
1355.0000   40.600990	40.577010   40.557500	40.522530   40.479820
1365.0000   40.586250	40.557290   40.533980	40.492420   40.442860
1375.0000   40.579700	40.551630   40.529170	40.488440   40.439320
1385.0000   40.576130	40.548420   40.525750	40.482960   40.430600
1395.0000   40.539800	40.487500   40.446340	40.374540   40.297680
1405.0000   40.528970	40.473840   40.431270	40.358300   40.285320
1415.0000   40.552730	40.522450   40.497450	40.449890   40.393260
1425.0000   40.541500	40.506910   40.480270	40.433880   40.380380
1435.0000   40.539530	40.510770   40.487120	40.445580   40.396110
1442.0000   40.537200	40.510540   40.488640	40.448740   40.400060
1447.0000   40.533540	40.507020   40.485320	40.446680   40.400040
1455.0000   40.525830	40.496780   40.473220	40.431740   40.381630
1465.0000   40.516500	40.483920   40.457290	40.409500   40.353420
1475.0000   40.510040	40.478380   40.452900	40.409180   40.358430
1485.0000   40.504700	40.474750   40.450440	40.409290   40.360500
1495.0000   40.497040	40.467120   40.442850	40.402320   40.354090
1505.0000   40.487290	40.454240   40.427620	40.381900   40.328020
1512.0000   40.476000	40.435290   40.403590	40.350150   40.290540
1517.0000   40.476280	40.439030   40.409850	40.361140   40.306450
1525.0000   40.469440	40.433170   40.404570	40.355040   40.297780
1535.0000   40.447000	40.397780   40.361130	40.297910   40.228120
1545.0000   40.433110	40.374610   40.329780	40.256890   40.182970
1555.0000   40.423390	40.366070   40.323480	40.253520   40.181500
1565.0000   40.429040	40.383170   40.349470	40.292460   40.228880
1575.0000   40.430750	40.392460   40.363430	40.312970   40.254230
1585.0000   40.427500	40.391640   40.363740	40.317710   40.264870
1595.0000   40.423880	40.389630   40.362260	40.316580   40.263370
1605.0000   40.407740	40.372140   40.345710	40.303180   40.253290
1615.0000   40.400570	40.363970   40.337060	40.294600   40.245140
1625.0000   40.393550	40.356680   40.329640	40.286250   40.235270
1635.0000   40.390260	40.359340   40.336270	40.299130   40.254090
1645.0000   40.377740	40.349770   40.328730	40.295800   40.253970
1655.0000   40.377470	40.346130   40.323040	40.285650   40.239230
1665.0000   40.378180	40.349710   40.328300	40.294520   40.251720
1672.0000   40.362960	40.328580   40.304210	40.264330   40.214300
1677.0000   40.373030	40.349600   40.331810	40.304080   40.265970
1685.0000   40.368510	40.344720   40.326450	40.298640   40.262180
1695.0000   40.358570	40.331650   40.311040	40.279350   40.239200
1705.0000   40.348250	40.319340   40.298230	40.266340   40.226730
1715.0000   40.336480	40.304580   40.280950	40.243990   40.198650
1725.0000   40.330080	40.296920   40.272440	40.235030   40.189510
1735.0000   40.332200	40.304330   40.283270	40.251170   40.209720
1745.0000   40.322890	40.294630   40.273260	40.241410   40.200780
1755.0000   40.320690	40.294780   40.275300	40.246440   40.209500
1765.0000   40.306010	40.279830   40.259410	40.229730   40.190460
1775.0000   40.305260	40.276150   40.253820	40.219700   40.177020
1785.0000   40.300520	40.274420   40.254140	40.224520   40.186270
1795.0000   40.297330	40.273260   40.254830	40.228890   40.194150
1805.0000   40.292120	40.269620   40.251880	40.227310   40.194020
1815.0000   40.280700	40.252660   40.230510	40.197900   40.157110
1825.0000   40.276710	40.251450   40.231160	40.202420   40.164400
1835.0000   40.269750	40.243310   40.221950	40.191730   40.152400
1845.0000   40.254270	40.222380   40.198430	40.163830   40.121120
1855.0000   40.246390	40.216990   40.194650	40.162110   40.119800
1865.0000   40.244110	40.216910   40.195890	40.165330   40.125100
1875.0000   40.245000	40.221170   40.202360	40.177490   40.143800
1885.0000   40.228530	40.198410   40.176350	40.145430   40.106230
1895.0000   40.217120	40.184140   40.160510	40.127260   40.086350
1905.0000   40.222450	40.194780   40.174530	40.147580   40.112310
1915.0000   40.210480	40.180890   40.159030	40.128190   40.088540
1925.0000   40.201180	40.167950   40.143970	40.110650   40.070060
1935.0000   40.203180	40.175820   40.155490	40.128880   40.094430
1945.0000   40.203210	40.178330   40.159320	40.133500   40.099390
1955.0000   40.186510	40.155160   40.132120	40.099870   40.060120
1967.0000   40.190300	40.165940   40.147550	40.124300   40.093120
1976.0000   40.190320	40.169870   40.153500	40.132900   40.103820
1984.0000   40.178920	40.153980   40.135310	40.111790   40.080240
1995.0000   40.168300	40.142970   40.124340	40.100320   40.068200
2005.0000   40.168350	40.145430   40.128430	40.109150   40.081770
2015.0000   40.163560	40.139470   40.121830	40.099700   40.070110
2025.0000   40.162510	40.142220   40.126710	40.109110   40.083200
2035.0000   40.151450	40.125630   40.106750	40.082710   40.051570
2045.0000   40.147130	40.123410   40.106050	40.085950   40.058570
2055.0000   40.104040	40.077820   40.058990	40.037670   40.008730
2065.0000   40.115630	40.092920   40.076110	40.055340   40.025070
2074.0000   40.137200	40.118300   40.104240	40.088840   40.064580
2078.0000   40.129400	40.105200   40.086970	40.063190   40.032030
2085.0000   40.128930	40.107440   40.091630	40.073390   40.046960
2095.0000   40.118920	40.093560   40.075290	40.052960   40.023380
2105.0000   40.118160	40.095200   40.078340	40.057570   40.029400
2115.0000   40.114880	40.093090   40.077200	40.058800   40.032970
2125.0000   40.111880	40.091320   40.075890	40.057950   40.032090
2135.0000   40.103080	40.080760   40.064650	40.045560   40.016900
2145.0000   40.097130	40.073670   40.056430	40.035750   40.008140
2155.0000   40.096120	40.076290   40.061410	40.044740   40.020140
2165.0000   40.086440	40.065650   40.050250	40.034010   40.009120
2175.0000   40.082900	40.062350   40.047230	40.031380   40.006470
2185.0000   40.075910	40.054120   40.037950	40.019300   39.991700
2195.0000   40.076000	40.056670   40.042130	40.026730   40.003150
2205.0000   40.068400	40.048520   40.033930	40.018980   39.994990
2215.0000   40.059510	40.038170   40.022640	40.006500   39.980580
2225.0000   40.054070	40.031120   40.014630	39.996650   39.969620
2235.0000   40.053710	40.032580   40.017010	40.000400   39.974730
2245.0000   40.047120	40.025090   40.009340	39.992480   39.966040
2255.0000   40.037850	40.014780   39.998110	39.979630   39.951660
2265.0000   40.036520	40.015020   39.999470	39.983370   39.957740
2275.0000   40.033540	40.012960   39.997850	39.982850   39.957870
2285.0000   40.029980	40.009920   39.995090	39.980510   39.955940
2295.0000   40.019010	39.995580   39.978100	39.958720   39.928610
2305.0000   40.015180	39.993120   39.977200	39.960700   39.934340
2315.0000   40.011220	39.987130   39.969880	39.949550   39.919730
2325.0000   39.982520	39.950360   39.928760	39.898280   39.856780
2335.0000   39.999470	39.973060   39.954870	39.932210   39.900420
